Date,Open,High,Low,Close,Adj Close,Volume
2019-12-10,0.800000,0.850000,0.760000,0.780000,0.780000,83978500
2019-12-11,0.780000,0.790000,0.720000,0.750000,0.750000,49496600
2019-12-12,0.750000,0.800000,0.750000,0.780000,0.780000,66335400
2019-12-13,0.810000,0.820000,0.770000,0.790000,0.790000,63174400
2019-12-16,0.780000,0.800000,0.760000,0.770000,0.770000,79120600
2019-12-17,0.770000,0.820000,0.770000,0.820000,0.820000,83297200
2019-12-18,0.810000,0.930000,0.810000,0.900000,0.900000,128236100
2019-12-19,0.930000,0.980000,0.910000,0.920000,0.920000,110298000
2019-12-20,0.950000,0.980000,0.870000,0.950000,0.950000,179036500
2019-12-23,0.930000,0.960000,0.900000,0.950000,0.950000,66166000
2019-12-24,0.950000,0.970000,0.940000,0.940000,0.940000,27125300
2019-12-26,0.950000,0.970000,0.940000,0.940000,0.940000,32964600
2019-12-27,0.950000,0.950000,0.810000,0.850000,0.850000,89353000
2019-12-30,0.880000,0.900000,0.810000,0.830000,0.830000,58847800
2019-12-31,0.820000,0.840000,0.790000,0.830000,0.830000,54283100
2020-01-02,0.840000,0.870000,0.820000,0.860000,0.860000,51600800
2020-01-03,0.940000,0.960000,0.900000,0.920000,0.920000,76741200
2020-01-06,0.950000,0.950000,0.860000,0.870000,0.870000,68433600
2020-01-07,0.860000,0.910000,0.830000,0.900000,0.900000,49333100
2020-01-08,0.900000,0.900000,0.820000,0.830000,0.830000,64650400
2020-01-09,0.830000,0.840000,0.760000,0.790000,0.790000,79134300
2020-01-10,0.800000,0.800000,0.730000,0.730000,0.730000,67766200
2020-01-13,0.700000,0.720000,0.670000,0.680000,0.680000,55295100
2020-01-14,0.690000,0.710000,0.670000,0.670000,0.670000,51800900
2020-01-15,0.680000,0.690000,0.660000,0.680000,0.680000,49194500
2020-01-16,0.690000,0.740000,0.690000,0.690000,0.690000,57421700
2020-01-17,0.700000,0.700000,0.660000,0.660000,0.660000,55297400
2020-01-21,0.660000,0.660000,0.600000,0.600000,0.600000,91770200
2020-01-22,0.590000,0.610000,0.560000,0.590000,0.590000,67564600
2020-01-23,0.580000,0.590000,0.570000,0.570000,0.570000,55461100
2020-01-24,0.580000,0.580000,0.550000,0.560000,0.560000,75855500
2020-01-27,0.540000,0.550000,0.530000,0.530000,0.530000,58638600
2020-01-28,0.540000,0.550000,0.510000,0.520000,0.520000,81821200
2020-01-29,0.560000,0.580000,0.530000,0.540000,0.540000,101031900
2020-01-30,0.530000,0.550000,0.510000,0.530000,0.530000,56304100
2020-01-31,0.520000,0.560000,0.510000,0.510000,0.510000,94415100
2020-02-03,0.510000,0.530000,0.510000,0.510000,0.510000,55700900
2020-02-04,0.520000,0.520000,0.510000,0.510000,0.510000,60465100
2020-02-05,0.520000,0.560000,0.510000,0.560000,0.560000,67917100
2020-02-06,0.560000,0.560000,0.540000,0.540000,0.540000,33885400
2020-02-07,0.550000,0.550000,0.510000,0.510000,0.510000,41935100
2020-02-10,0.510000,0.520000,0.500000,0.500000,0.500000,58856200
2020-02-11,0.510000,0.520000,0.500000,0.500000,0.500000,60406000
2020-02-12,0.520000,0.530000,0.500000,0.500000,0.500000,70054400
2020-02-13,0.510000,0.520000,0.480000,0.490000,0.490000,83024800
2020-02-14,0.490000,0.490000,0.450000,0.450000,0.450000,117999800
2020-02-18,0.470000,0.470000,0.430000,0.440000,0.440000,65868300
2020-02-19,0.440000,0.480000,0.430000,0.480000,0.480000,73931500
2020-02-20,0.480000,0.500000,0.480000,0.480000,0.480000,59031400
2020-02-21,0.470000,0.470000,0.450000,0.450000,0.450000,43117600
2020-02-24,0.420000,0.470000,0.400000,0.440000,0.440000,68191400
2020-02-25,0.450000,0.460000,0.410000,0.440000,0.440000,67366500
2020-02-26,0.430000,0.430000,0.300000,0.310000,0.310000,234906000
